"api_path","_time","avg_sec_raw","p95_sec_raw","p99_sec_raw","avg_sec","current_p95_sec",latestTime,"p95_sec","p99_sec","perf_band"
"/updateAgreement","2025-11-17T08:00:00.000-0600","7.96","7.9600","7.9600","8.0","15.4",1764105300,"8.0","8.0",slow
"/updateAgreement","2025-11-17T11:10:00.000-0600","6.456","6.4560","6.4560","6.5","15.4",1764105300,"6.5","6.5",slow
"/updateAgreement","2025-11-17T14:05:00.000-0600","3.442","3.4420","3.4420","3.4","15.4",1764105300,"3.4","3.4",slow
"/updateAgreement","2025-11-17T14:50:00.000-0600","4.575","4.5750","4.5750","4.6","15.4",1764105300,"4.6","4.6",slow
"/updateAgreement","2025-11-18T08:25:00.000-0600","4.019","4.0190","4.0190","4.0","15.4",1764105300,"4.0","4.0",slow
"/updateAgreement","2025-11-18T08:30:00.000-0600","15.146333333333333","15.162","15.163","15.1","15.4",1764105300,"15.2","15.2",slow
"/updateAgreement","2025-11-18T09:25:00.000-0600","15.671","15.671","15.671","15.7","15.4",1764105300,"15.7","15.7",slow
"/updateAgreement","2025-11-18T12:45:00.000-0600","6.305","6.3050","6.3050","6.3","15.4",1764105300,"6.3","6.3",slow
"/updateAgreement","2025-11-18T12:50:00.000-0600","3.0045","4.0643","4.1585","3.0","15.4",1764105300,"4.1","4.2",slow
"/updateAgreement","2025-11-18T13:15:00.000-0600","5.71","5.7100","5.7100","5.7","15.4",1764105300,"5.7","5.7",slow
"/updateAgreement","2025-11-18T14:45:00.000-0600","4.165","4.1650","4.1650","4.2","15.4",1764105300,"4.2","4.2",slow
"/updateAgreement","2025-11-18T17:15:00.000-0600","6.239","6.2390","6.2390","6.2","15.4",1764105300,"6.2","6.2",slow
"/updateAgreement","2025-11-18T17:20:00.000-0600","3.446","3.4460","3.4460","3.4","15.4",1764105300,"3.4","3.4",slow
"/updateAgreement","2025-11-19T09:30:00.000-0600","6.711","6.7110","6.7110","6.7","15.4",1764105300,"6.7","6.7",slow
"/updateAgreement","2025-11-19T10:45:00.000-0600","2.182","2.1820","2.1820","2.2","15.4",1764105300,"2.2","2.2",slow
"/updateAgreement","2025-11-19T10:50:00.000-0600","2.887","2.8870","2.8870","2.9","15.4",1764105300,"2.9","2.9",slow
"/updateAgreement","2025-11-19T11:30:00.000-0600","5.747","5.7470","5.7470","5.7","15.4",1764105300,"5.7","5.7",slow
"/updateAgreement","2025-11-19T11:45:00.000-0600","15.648","15.648","15.648","15.6","15.4",1764105300,"15.6","15.6",slow
"/updateAgreement","2025-11-19T12:10:00.000-0600","4.404","6.3588","6.5326","4.4","15.4",1764105300,"6.4","6.5",slow
"/updateAgreement","2025-11-19T12:15:00.000-0600","5.91","5.9100","5.9100","5.9","15.4",1764105300,"5.9","5.9",slow
"/updateAgreement","2025-11-19T12:45:00.000-0600","6.045","6.0450","6.0450","6.0","15.4",1764105300,"6.0","6.0",slow
"/updateAgreement","2025-11-19T12:50:00.000-0600","16.116","16.116","16.116","16.1","15.4",1764105300,"16.1","16.1",slow
